words
sättigungskurve
sättigungskurven
sättigungsniveau
sättigungsniveaus
säulendiagramm
säulendiagramme
säulendiagrammen
säulendiagrammes
säulendiagramms
saisonbereinigung
saisonbereinigungen
saisoneffekt
saisoneffekte
saisoneffekten
saisoneffektes
saisoneffekts
saisonfigur
saisonfiguren
saisonindex
saisonindexe
saisonindexen
saisonindexes
saisonindices
saisonindizes
saisonkomponente
saisonkomponenten
saisonprognose
saisonprognosen
saisonschwankung
saisonschwankungen
scatterplot
scatterplote
scatterploten
scatterplots
schachteldiagramm
schachteldiagramme
schachteldiagrammen
schachteldiagrammes
schachteldiagramms
schachtelzeichnung
schachtelzeichnungen
schätzalgorithmen
schätzalgorithmus
schätzfehler
schätzfehlern
schätzfehlers
schätzfunktion
schätzfunktionen
schätzmethode
schätzmethoden
schätzung
schätzungen
schätzwert
schätzwerte
schätzwerten
schätzwertes
schätzwerts
schätzzeiträume
schätzzeiträumen
schätzzeitraum
schätzzeitraums
scheidewert
scheidewerte
scheidewerten
scheidewertes
scheidewerts
scheinkorrelation
scheinkorrelationen
scheinvariable
scheinvariablen
schichtungseffekt
schichtungseffekte
schichtungseffekten
schichtungseffektes
schichtungseffekts
schiefemass
schiefemasse
schiefemassen
schiefemasses
schlusszifferverfahren
schlusszifferverfahrens
schrumpfungskorrektur
schrumpfungskorrekturen
schwankungsbreite
schwankungsbreiten
schwankungsintervall
schwankungsintervalle
schwankungsintervallen
schwankungsintervalles
schwankungsintervalls
schwankungszahl
schwankungszahlen
schwellenwertneuron
schwellenwertneurone
schwellenwertneuronen
schwellenwertneurons
sekundärstatistik
sekundärstatistiken
selektionsfehler
selektionsfehlern
selektionsfehlers
semivarianz
semivarianzen
sensitivitätsanalyse
sensitivitätsanalysen
sensitivitätskurve
sensitivitätskurven
sequentialtest
sequentialteste
sequentialtesten
sequentialtestes
sequentialtests
sequenzeffekt
sequenzeffekte
sequenzeffekten
sequenzeffektes
sequenzeffekts
shiftvariable
shiftvariablen
sicherheitskoeffizient
sicherheitskoeffizienten
sicherheitskoeffizients
sicherheitswahrscheinlichkeit
sicherheitswahrscheinlichkeiten
signifikanzniveau
signifikanzniveaus
signifikanzprüfung
signifikanzprüfungen
signifikanztest
signifikanzteste
signifikanztesten
signifikanztestes
signifikanztests
signifikanzzahl
signifikanzzahlen
simplexverfahren
simplexverfahrens
simultanprognose
simultanprognosen
singulärwert
singulärwerte
singulärwerten
singulärwertes
singulärwerts
singulärwertzerlegung
singulärwertzerlegungen
skalar
skalare
skalaren
skalarmatrix
skalarmatrizen
skalarprodukt
skalarprodukte
skalarprodukten
skalarproduktes
skalarprodukts
skalars
skalenabhängigkeit
skalenabhängigkeiten
skalenäquivarianz
skalenäquivarianzen
skalendignität
skalendignitäten
skalenhierachie
skalenhierachien
skaleninvarianz
skaleninvarianzen
skalenniveau
skalenniveaus
skalentyp
skalentype
skalentypen
skalentyps
skalierung
skalierungen
solver
solvern
solvers
