words
längsschnittdaten
längsschnitterhebung
längsschnitterhebungen
längsschnittsdaten
längsschnittstudie
längsschnittstudien
lagegesetz
lagegesetze
lagegesetzen
lagemodell
lagemodelle
lagemodellen
lagemodelles
lagemodells
lageparameter
lageparametern
lageparameters
lagesetzes
laplaceverteilung
laplaceverteilungen
leistungsstatistik
leistungsstatistiken
likelihood
likelihoodfunktion
likelihoodfunktionen
likelihoods
linearapproximation
linearapproximationen
linearisierung
linearisierungen
linearkombination
linearkombinationen
lineartransformation
lineartransformationen
liniendiagramm
liniendiagramme
liniendiagrammen
liniendiagrammes
liniendiagramms
lndikatorvariable
lntervallschätzer
lochkarte
lochkarten
logarithmen
logarithmus
logit
logits
loglikelihood
loglikelihoods
lohnstrukturerhebung
lohnstrukturerhebungen
lokationsmodell
lokationsmodelle
lokationsmodellen
lokationsmodelles
lokationsmodells
lokationsparameter
lokationsparametern
lokationsparameters
lorenzkurve
lorenzkurven
lorenzkurvenordnung
lorenzkurvenordnungen
lrrtumswahrscheinlichkeit
