words
kapazitätsmessung
kapazitätsmessungen
kardinalskala
kardinalskalas
kardinalskalen
kartogramm
kartogramme
kartogrammen
kartogramms
kategorialskala
kategorialskalas
kategorialskalen
kategorienbreite
kategorienbreiten
kategorienmitte
kategorienmitten
kaufkraftindex
kaufkraftindexe
kaufkraftindexen
kaufkraftindexes
kaufkraftindices
kaufkraftindizes
kaufkraftparität
kaufkraftparitäten
kaufkraftvergleich
kaufkraftvergleiche
kaufkraftvergleichen
kaufkraftvergleiches
kaufkraftvergleichs
kausalanalyse
kausalanalysen
kenngrösse
kenngrössen
kennzahl
kennzahlen
kerndichte
kerndichten
kerndichteschätzer
kerndichteschätzern
kerndichteschätzers
kettenindex
kettenindexe
kettenindexen
kettenindexes
kettenindices
kettenindizes
klassenbreite
klassenbreiten
klasseneinteilung
klassenhäufigkeit
klassenhäufigkeiten
klassenteilungen
klassierung
klassierungen
klassifikationsmatrices
klassifikationsmatrix
klassifikationsmatrizen
klassifikationsmatrizes
klassifizierungsbäume
klassifizierungsbäumen
klassifizierungsbaum
klassifizierungsbaumes
klassifizierungsbaums
klassifizierungsdiagramm
klassifizierungsdiagramme
klassifizierungsdiagrammen
klassifizierungsdiagrammes
klassifizierungsdiagramms
klumpeneffekt
klumpeneffekte
klumpeneffekten
klumpeneffektes
klumpeneffekts
klumpenstichprobe
klumpenstichprobenverfahren
klumpenstichprobenverfahrens
klumpenstichroben
kodierung
kodierungen
koeffizient
koeffizienten
kofaktor
kofaktoren
kofaktors
kollektivmasslehre
kollektivmasslehren
kombinationstabelle
kombinationstabelllen
kombinatorik
kommunalität
kommunalitäten
kommunalitätenproblem
kommunalitätenprobleme
kommunalitätenproblemen
kommunalitätenproblems
komplementärereignis
komplementärereignisse
komplementärereignissen
komplementärereignisses
komplexursache
komplexursachen
komponentenmodell
komponentenmodelle
komponentenmodellen
komponentenmodells
komponentenverfahren
komponentenverfahrens
kondidenzintervalles
konfidenzbänder
konfidenzbändern
konfidenzband
konfidenzbandes
konfidenzbands
konfidenzbereich
konfidenzbereiche
konfidenzbereichen
konfidenzbereiches
konfidenzbereichs
konfidenzintervall
konfidenzintervalle
konfidenzintervallen
konfidenzintervalls
konfidenzkoeffizient
konfidenzkoeffizienten
konfidenzniveau
konfidenzniveaus
konfidenzwahrscheinlichkeit
konfidenzwahrscheinlichten
konfigurationsfrequenzanalyse
konfigurationsfrequenzanalysen
konjunkturstatistik
konjunkturstatistiken
kontingenzanalyse
kontingenzanalysen
kontingenzkoeffizient
kontingenzkoeffizienten
kontingenzmass
kontingenzmasse
kontingenzmassen
kontingenzmasses
kontingenztabelle
kontingenztabellen
kontingenztafel
kontingenztafeln
kontinuitätskorrektur
kontinuitätskorrekturen
kontrastcodierung
kontrastcodierungen
kontrollvariable
kontrollvariablen
konvergenzkriterien
konvergenzkriterium
konvergenzkriteriums
konvergenzprinzipien
konvexitätsprinzip
konvexitätsprinzips
konzentrationsellipsoid
konzentrationsellipsoide
konzentrationsellipsoiden
konzentrationsellipsoids
konzentrationsindex
konzentrationsindexe
konzentrationsindexen
konzentrationsindexes
konzentrationsindices
konzentrationsindizes
konzentrationskurve
konzentrationskurven
konzentrationsmass
konzentrationsmasse
konzentrationsmassen
konzentrationsmasses
konzentrationsrate
konzentrationsraten
korrelation
korrelationen
korrelationsanalyse
korrelationsanalysen
korrelationskoeffizient
korrelationskoeffizienten
korrelationsmatrices
korrelationsmatrix
korrelationsmatrizen
korrelationsmatrizes
korrelationsmittelung
korrelationsmittelungen
korrelationsrechnung
korrelationsrechnungen
korrelationstabelle
korrelationstabellen
korrelationstest
korrelationsteste
korrelationstesten
korrelationstestes
korrelationstests
korrelationsunterschiede
korrelationsunterschieden
korrelationsverhältnis
korrelationsverhältnisse
korrelationsverhältnissen
korrelationsverhältnisses
korrelationsziffer
korrelationsziffern
korreliertheit
korreliertheiten
korrelogramm
korrelogramme
korrelogrammen
korrelogrammes
korrelogramms
kostenstatistik
kostenstatistiken
kovarianz
kovarianzanalyse
kovarianzanalysen
kovarianzmatrices
kovarianzmatrix
kovarianzmatrizen
kovarianzmatrizes
kovarianzstationarität
kovarianzstationaritäten
kovarianzstrukturanalyse
kovarianzstrukturanalysen
kovariaten
kovariatenmuster
kovariatenmustern
kovariatenmusters
kovariation
kreisdiagramm
kreisdiagramme
kreisdiagrammen
kreisdiagrammes
kreisdiagramms
kreuzklassifikation
kreuzklassifikationen
kreuzkorrelation
kreuzkorrelationen
kreuzproduktsumme
kreuzproduktsummen
kreuzproduktverhälnisse
kreuzproduktverhältnis
kreuzproduktverhältnissen
kreuzproduktverhältnisses
kreuztabelle
kreuztabellen
kreuztabellenanalyse
kreuztabellenanalysen
kreuztabellierung
kreuztabellierungen
kreuzvalidierung
kreuzvalidierungen
kriteriumsrotation
kriteriumsrotationen
kriteriumsvariable
kriteriumsvariablen
kugelfunktion
kugelfunktionen
kugelziehung
kugelziehungen
kumulant
kumulanten
kurtosis
kurtosismass
kurtosismasse
kurtosismassen
kurtosismasses
kurvenanpassung
kurvenanpassungen
kurvendiagramm
kurvendiagramme
kurvendiagrammen
kurvendiagrammes
kurvendiagramms
kurvengestaltung
