words
tabelle
tabellen
tabellenkalkulationsprogramm
tabellenkalkulationsprogramme
tabellenkalkulationsprogrammen
tabellenkalkulationsprogrammes
tabellenkalkulationsprogramms
tabellenprogramm
tabellenprogramme
tabellenprogrammen
tabellenprogrammes
tabellenprogramms
tabellenverzeichnis
tabellenverzeichnisse
tabellenverzeichnissen
teilerhebung
teilerhebungen
teilgesamtheit
teilgesamtheiten
teilindex
teilindexe
teilindexen
teilindexes
teilindices
teilindizes
teilmasse
teilmassen
teilmenge
teilmengen
testfunktion
testfunktionen
testproblem
testprobleme
testproblemen
testproblems
teststärkefunktion
teststärkefunktionen
teststatistik
teststatistiken
tetradenmethode
tetradenmethoden
totalerhebung
totalerhebungen
totalindex
totalindexe
totalindexen
totalindexes
totalindices
totalindizes
trägheitsgewicht
trägheitsgewichte
trägheitsgewichten
trägheitsgewichtes
trägheitsgewichts
trägheitsparameter
trägheitsparameters
transponierungsschlüsse
transponierungsschlüssen
transponierungsschluss
transponierungsschlusses
treatmentquadratsumme
treatmentquadratsummen
treatmentvarianz
treatmentvarianzen
trefferquote
trefferquoten
trendberechnung
trendberechnungen
trendbereinigung
trendbereinigungen
trendextrapolation
trendextrapolationen
trendfunktion
trendfunktionen
trendgerade
trendgeraden
trendhypothese
trendhypothesen
trendkomponente
trendkomponenten
trendkurve
trendkurven
trendlinie
trendlinien
trendtest
trendteste
trendtesten
trendtestes
trendtests
trendvariable
trendvariablen
trennfunktion
trennfunktionen
treppenfunktion
treppenfunktionen
treppenkurve
treppenkurven
tripelinteraktion
tripelinteraktionen
