Distribution of hits for query "([pos="CARD"][lemma=".*schüler|.*schülerin|Knabe|Mädchen|Tochter|Kind|Schüler|Schülerin|Bube"])|([lemma=".*schüler|.*schülerin|Knabe|Mädchen|Tochter|- Kind|Schüler|Schülerin|Bube"][pos= "CARD"])" returned 7,985 matches in 1,874 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
ajb_001_1855_002_99_132_e350	10785	8	741.77
ajb_001_1856_003_252_254_e410	784	2	2551.02
ajb_001_1856_003_274_280_e445	1642	1	609.01
ajb_001_1856_003_309_335_e432	8399	7	833.43
ajb_001_1860_004_100_122_e190	7158	1	139.7
ajb_001_1860_004_61_71_e184	3333	4	1200.12
ajb_001_1860_004_72_83_e186	4095	6	1465.2
ajb_001_1861_005_110_114_e194	1555	2	1286.17
ajb_001_1861_005_114_121_e196	2334	2	856.9
ajb_001_1861_005_150_158_e207	2917	1	342.82
ajb_001_1862_006_4_50_e197	15586	2	128.32
ajb_001_1862_006_93_119_e206	7984	1	125.25
ajb_001_1863_007_144_159_e228	5246	3	571.86
ajb_001_1863_007_166_173_e232	2508	1	398.72
ajb_001_1866_008_122_128_e281	1940	5	2577.32
ajb_001_1866_008_207_219_e293	4090	6	1466.99
ajb_001_1866_008_20_44_e261	7862	4	508.78
ajb_001_1866_008_219_224_e295	1684	3	1781.47
ajb_001_1868_009_133_159_e230	8747	1	114.32
ajb_001_1868_009_159_178_e232	6767	4	591.1
ajb_001_1868_009_182_189_e237	2691	3	1114.83
ajb_001_1868_009_58_75_e226	5426	1	184.3
ajb_001_1870_010_145_153_e369	2880	1	347.22
ajb_001_1870_010_168_184_e374	5545	2	360.69
ajb_001_1870_010_204_332_e377	40625	11	270.77
apm_001_1826_002_107_111_e462	1386	1	721.5
apm_001_1826_002_122_122_e358	220	1	4545.45
apm_001_1826_002_13_15_e274	345	2	5797.1
apm_001_1826_002_15_18_e277	1125	3	2666.67
apm_001_1826_002_179_188_e468	3015	1	331.67
apm_001_1826_002_200_214_e416	3060	4	1307.19
apm_001_1826_002_219_230_e470	3341	1	299.31
apm_001_1826_002_27_30_e477	1055	1	947.87
apm_001_1826_002_67_76_e458	3102	1	322.37
apm_001_1826_002_83_94_e459	3499	1	285.8
apm_001_1826_002_9_12_e267	1012	2	1976.28
apm_001_1827_003_153_161_e324	1535	10	6514.66
apm_001_1827_003_43_47_e369	302	1	3311.26
apm_001_1827_003_5_17_e11	3186	1	313.87
apm_001_1828_004_17_19_e26	675	1	1481.48
apm_001_1828_004_184_188_e414	1344	1	744.05
apm_001_1828_004_205_205_e393	178	3	16853.93
apm_001_1828_004_206_207_e394	517	1	1934.24
apm_001_1829_005_152_159_e313	1308	1	764.53
apm_001_1829_005_29_36_e224	1202	1	831.95
apm_001_1829_005_85_98_e268	3156	1	316.86
apm_001_1830_006_105_109_e295	1354	2	1477.1
apm_001_1830_006_169_179_e363	3796	38	10010.54
apm_001_1830_006_72_80_e276	2855	1	350.26
apm_001_1832_008_181_194_e280	4759	1	210.13
apm_001_1832_008_33_36_e48	1047	1	955.11
apm_001_1833_009_21_29_e224	1614	3	1858.74
apm_001_1834_010_118_126_e271	2147	1	465.77
apm_001_1834_010_135_144_e276	3326	2	601.32
apm_001_1834_010_151_157_e281	1329	2	1504.89
apm_001_1834_010_161_166_e287	1206	1	829.19
apm_001_1834_010_23_33_e227	3567	1	280.35
apm_001_1834_010_47_55_e233	2504	1	399.36
apm_001_1834_010_55_60_e235	1513	1	660.94
apm_001_1834_010_60_62_e238	874	1	1144.16
apm_001_1835_011_107_116_e253	1846	1	541.71
apm_001_1835_011_69_79_e242	2135	1	468.38
apm_001_1836_012_165_180_e274	4937	1	202.55
apm_001_1836_012_181_202_e275	6678	1	149.75
apm_001_1836_012_82_84_e113	634	1	1577.29
apm_001_1836_012_85_96_e245	3499	2	571.59
apm_001_1837_013_145_160_e279	3584	2	558.04
apm_001_1837_013_15_28_e289	3223	1	310.27
apm_001_1838_014_107_122_e301	5106	1	195.85
apm_001_1838_014_123_138_e253	5197	1	192.42
apm_001_1838_014_168_170_e275	640	1	1562.5
apm_001_1838_014_43_52_e291	2937	1	340.48
apm_001_1838_014_75_85_e295	3020	1	331.13
apm_001_1838_014_7_21_e287	4682	2	427.17
apm_001_1839_015_112_120_e297	1454	1	687.76
apm_001_1839_015_182_188_e319	891	3	3367
apm_001_1839_015_205_218_e330	2725	1	366.97
apm_001_1839_015_93_103_e263	1896	2	1054.85
apm_001_1840_016_104_107_e264	1154	1	866.55
apm_001_1840_016_107_111_e267	1467	2	1363.33
apm_001_1840_016_10_16_e19	2050	1	487.8
