Distribution of hits for query "[word =".*statist.*"%c]" returned 3,215 matches in 949 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
ass_001_1843_009_494_522_e813	8961	1	111.59
ass_001_1843_009_546_559_e819	5230	2	382.41
ass_001_1844_010_238_248_e721	3861	1	259
ass_001_1844_010_272_293_e581	9696	1	103.14
ass_001_1844_010_377_381_e646	1708	1	585.48
ass_001_1844_010_473_476_e703	1602	1	624.22
ass_001_1845_011_114_117_e711	1277	3	2349.26
ass_001_1845_011_230_245_e749	5416	1	184.64
ass_001_1845_011_305_321_e794	5528	1	180.9
ass_001_1845_011_350_359_e910	3426	3	875.66
ass_001_1845_011_360_367_e911	2377	1	420.7
ass_001_1845_011_574_595_e885	7127	3	420.93
bmb_001_1850_001_100_102_e282	1443	1	693
bmb_001_1850_001_140_142_e306	1446	1	691.56
bmb_001_1850_001_155_158_e322	1931	2	1035.73
bmb_001_1850_001_183_186_e337	1106	1	904.16
bmb_001_1850_001_51_52_e244	511	1	1956.95
bmb_001_1851_002_100_103_e345	1665	1	600.6
bmb_001_1851_002_136_142_e362	1971	2	1014.71
bmb_001_1851_002_164_167_e379	766	3	3916.45
bmb_001_1851_002_167_171_e382	1280	1	781.25
bmb_001_1851_002_180_182_e391	788	2	2538.07
bmb_001_1851_002_183_186_e394	1167	1	856.9
bmb_001_1851_002_250_251_e439	254	1	3937.01
bmb_001_1851_002_277_279_e455	1282	1	780.03
bmb_001_1851_002_43_46_e304	1332	1	750.75
bmb_001_1851_002_82_83_e332	629	1	1589.83
bmb_001_1852_003_146_148_e386	504	1	1984.13
bmb_001_1852_003_15_17_e302	758	2	2638.52
bmb_001_1852_003_202_204_e410	187	2	10695.19
bmb_001_1852_003_25_30_e312	1867	1	535.62
bmb_001_1852_003_283_288_e449	1814	2	1102.54
bmb_001_1852_003_89_95_e350	2170	4	1843.32
bmb_001_1854_005_209_222_e382	4172	1	239.69
bmb_001_1854_005_91_99_e315	2865	1	349.04
bmb_001_1855_006_139_143_e322	1418	1	705.22
bmb_001_1855_006_175_180_e348	1890	2	1058.2
bmb_001_1855_006_201_212_e367	3403	4	1175.43
bmb_001_1855_006_9_11_e247	770	3	3896.1
bmb_001_1856_007_133_136_e377	1684	1	593.82
bmb_001_1856_007_147_152_e388	2175	1	459.77
bmb_001_1856_007_275_276_e456	168	1	5952.38
bmb_001_1857_008_161_164_e346	1113	1	898.47
bmb_001_1857_008_181_182_e361	459	4	8714.6
bmb_001_1857_008_192_193_e370	362	1	2762.43
bmb_001_1858_009_24_34_e261	3570	1	280.11
bmb_001_1859_010_117_120_e264	1596	1	626.57
bmb_001_1859_010_153_153_e326	225	1	4444.44
bmb_001_1859_010_156_160_e294	1	1	1000000
bmb_001_1859_010_49_53_e224	1693	1	590.67
bmb_001_1860_011_102_103_e298	579	1	1727.12
