Query “[word=".*tabell.*"%c]” returned 4,833 matches in 1,054 different texts (in 74,096,351 words [13,306 texts]; frequency: 65.23 instances per million words).

Showing frequency breakdown of words in this query, at the query node; there are 458 different types and 4,833 tokens at this concordance position.  [0.018 seconds - retrieved from cache]

__________________

No.	Search result	No. of occurrences	Percent
176	Dispositionstabelle	1	0.02
177	Distanzentabelle	1	0.02
178	Distanztabellen	1	0.02
179	durchschnittstabellen	1	0.02
180	Eeneraltabelle	1	0.02
181	Ehetabellen	1	0.02
182	Einbeitstabelle	1	0.02
183	Einhcitstabelle	1	0.02
184	Einheifstabelle	1	0.02
185	EiNheirentabelle	1	0.02
186	Einheits-Tabelle	1	0.02
187	Einheitstabellc	1	0.02
188	Eisenbahntabellen	1	0.02
189	Ertragsfaktoren-Tabellen	1	0.02
190	erwerbungstabellen	1	0.02
191	Examentabellen	1	0.02
192	Fachtabelle	1	0.02
193	Farbentabelle	1	0.02
194	Frachttabelle	1	0.02
195	Fruchttabellen	1	0.02
196	Futtertabellcn	1	0.02
197	Fvrmelntabelle	1	0.02
198	Gcsangtabellen	1	0.02
199	Gcschichtstabelle	1	0.02
200	GcschichtStabellen	1	0.02
201	Gcwcrbctabellcn	1	0.02
202	Gcwichtötabelle	1	0.02
203	Geldtabellenbuch	1	0.02
204	Gesammttabelle	1	0.02
205	Gesangtabellenwerke	1	0.02
206	Geschichts-Tabellen	1	0.02
207	Gewcrbetabelle	1	0.02
208	Gewichtstabelle	1	0.02
209	ginalzählungstabellen	1	0.02
210	Grunderwerbungstabellen	1	0.02
211	Gütertabellen	1	0.02
212	Hanpttabelle	1	0.02
213	Hansbesnchnngstabelle	1	0.02
214	Haupttabellebeigeiügl	1	0.02
215	Haushaltungstabellen	1	0.02
216	Hcuwcrthstabellcn	1	0.02
217	Heischrödel-Tabellen	1	0.02
218	Herbsttabelle	1	0.02
219	Hilfstabellen	1	0.02
220	Holztabellen	1	0.02
221	Hundertertabellen	1	0.02
222	Iiiipftabellen	1	0.02
223	Ileirathstabellen	1	0.02
224	Ilolztabellen	1	0.02
225	Interesscntabellen	1	0.02
226	ionstabelleii	1	0.02
227	Jmpftabellcn	1	0.02
228	Jnsvektionstabellen	1	0.02
229	Kadastcrtabellen	1	0.02
230	kcitstabelle	1	0.02
231	Konjugationstabellen	1	0.02
232	Konkordatstabelle	1	0.02
233	Kunsttabellen	1	0.02
234	lagstabelle	1	0.02
235	Lcsetabellen	1	0.02
236	Lehrertabelle	1	0.02
237	LektionStabell	1	0.02
238	Lesctabellen	1	0.02
239	Lese-Wandtabellen	1	0.02
240	lichkeitstabelle	1	0.02
241	liruchtabelle	1	0.02
242	llcduclionstabellen	1	0.02
243	lleductionstabellen	1	0.02
244	Löhnungstabelle	1	0.02
245	lungstabellen	1	0.02
246	Mannschaftstabelle	1	0.02
247	Maßreductionstabellen	1	0.02
248	Maßtabellen	1	0.02
249	Messungstabelle	1	0.02
250	Miliztabellen	1	0.02
251	Milnztabellen	1	0.02
252	Monats-Tabelle	1	0.02
253	Monatstabell5	1	0.02
254	Monatstabelle	1	0.02
255	Monatstabellen	1	0.02
256	Mortalitäis-Tabellen	1	0.02
257	Mortalitätstabellen	1	0.02
258	Mottatstabelle	1	0.02
259	Multiplicationgtabellen	1	0.02
260	Münzreductionstabellen	1	0.02
261	Münzsortentabellen	1	0.02
262	Münztabellen	1	0.02
263	Musiktabellenwerk	1	0.02
264	Mutationötabelle	1	0.02
265	Mutationstabelle	1	0.02
266	MzählungStabelle	1	0.02
267	NachstehendeTabelle	1	0.02
268	Namenstabellen	1	0.02
269	Ncdnktionstabellen	1	0.02
270	Ncduktionstabellen	1	0.02
271	Ncrsäumnißtabellen	1	0.02
272	Neberstchtstabelle	1	0.02
273	Neduktionstabelle	1	0.02
274	Neduktionstabellen	1	0.02
275	nothwendigenÄufnahmstabellen	1	0.02
276	nungstabelle	1	0.02
277	nungstabelleu	1	0.02
278	Originaltabellen	1	0.02
279	peraturtabelle	1	0.02
280	plikatlonstabelle	1	0.02
281	Pofttabellen	1	0.02
282	Potenztabellen	1	0.02
283	Preistabelle	1	0.02
284	Provinzialtabellen	1	0.02
285	Prüfungstabellen	1	0.02
286	Rcductionstabellen	1	0.02
287	Redliktioiißtabelleii	1	0.02
288	Reductionstabellcn	1	0.02
289	Reduknonstabellen	1	0.02
290	Reduktionstabellcn	1	0.02
291	Regententabellen	1	0.02
292	Rekapitulationstabelle	1	0.02
293	Resolutionstabellen	1	0.02
294	Resolvirungstabelle	1	0.02
295	schammgstabelle	1	0.02
296	Schülertabellen	1	0.02
297	Schultabellcn	1	0.02
298	Schulversäumnißtabelle	1	0.02
299	sichtstabelleu	1	0.02
300	sionstabellen	1	0.02
301	Sittentabelle	1	0.02
302	Situations-Tabellen	1	0.02
303	Slerblichkeirstabellc	1	0.02
304	Spcisctabelle	1	0.02
305	Speifetabelle	1	0.02
