Distribution of hits for query "[word ="durchschnitt|durchschnittl.*"%c]" returned 4,279 matches in 1,094 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
apm_001_1843_019_169_176_e341	1802	2	1109.88
apm_001_1843_019_197_209_e363	2607	1	383.58
apm_001_1844_020_103_108_e284	1352	6	4437.87
apm_001_1844_020_29_34_e244	514	1	1945.53
apm_001_1847_023_102_104_e331	617	1	1620.75
apm_001_1847_023_164_168_e375	1801	2	1110.49
apm_001_1847_023_185_191_e395	1896	1	527.43
apm_001_1847_023_43_46_e300	1428	1	700.28
apm_001_1848_024_25_35_e42	1646	1	607.53
ass_001_1835_001_138_145_e278	1952	2	1024.59
ass_001_1836_002_118_124_e722	2265	1	441.5
ass_001_1837_003_130_143_e936	6322	3	474.53
ass_001_1837_003_194_198_e941	1822	1	548.85
ass_001_1837_003_260_267_e992	3102	2	644.75
ass_001_1837_003_267_273_e953	3356	2	595.95
ass_001_1837_003_295_295_e959	316	1	3164.56
ass_001_1837_003_375_386_e965	4693	1	213.08
ass_001_1837_003_408_429_e732	7913	1	126.37
ass_001_1837_003_481_486_e975	2612	1	382.85
ass_001_1837_003_574_579_e986	2456	2	814.33
ass_001_1838_004_471_471_e818	549	1	1821.49
ass_001_1838_004_471_481_e820	4650	1	215.05
ass_001_1838_004_501_518_e751	6161	1	162.31
ass_001_1838_004_74_81_e837	3503	1	285.47
ass_001_1838_004_81_86_e789	2196	2	910.75
ass_001_1839_005_160_183_e500	10889	1	91.84
ass_001_1839_005_210_226_e458	4854	1	206.02
ass_001_1839_005_243_255_e504	3367	1	297
ass_001_1839_005_289_301_e509	4327	1	231.11
ass_001_1839_005_332_342_e520	4048	1	247.04
ass_001_1839_005_363_364_e555	428	1	2336.45
ass_001_1839_005_364_371_e559	3337	1	299.67
ass_001_1840_006_106_110_e942	1538	1	650.2
ass_001_1840_006_208_222_e652	5115	1	195.5
ass_001_1840_006_253_264_e686	4220	1	236.97
ass_001_1840_006_349_358_e739	3616	2	553.1
ass_001_1840_006_359_366_e745	2911	1	343.52
ass_001_1840_006_44_57_e856	5301	1	188.64
ass_001_1840_006_481_526_e811	18338	16	872.51
ass_001_1840_006_561_565_e850	1526	1	655.31
ass_001_1841_007_114_145_e611	11852	1	84.37
ass_001_1841_007_213_279_e653	26205	14	534.25
ass_001_1841_007_298_306_e669	3441	1	290.61
ass_001_1841_007_39_77_e593	15853	1	63.08
ass_001_1841_007_435_442_e738	2578	1	387.9
ass_001_1841_007_473_494_e750	7996	1	125.06
ass_001_1841_007_498_504_e839	2130	1	469.48
ass_001_1841_007_564_574_e783	4019	3	746.45
ass_001_1842_008_134_149_e644	5120	1	195.31
ass_001_1842_008_172_180_e650	3021	2	662.03
ass_001_1842_008_368_371_e737	1035	1	966.18
ass_001_1842_008_394_404_e751	2521	1	396.67
ass_001_1843_009_187_201_e685	5410	3	554.53
ass_001_1843_009_269_270_e709	1033	1	968.05
ass_001_1843_009_415_430_e772	4773	1	209.51
ass_001_1843_009_468_478_e796	4252	3	705.55
ass_001_1843_009_480_483_e799	1137	4	3518.03
ass_001_1843_009_494_522_e813	8961	1	111.59
ass_001_1843_009_546_559_e819	5230	2	382.41
ass_001_1843_009_576_578_e835	862	1	1160.09
ass_001_1844_010_272_293_e581	9696	5	515.68
ass_001_1844_010_377_381_e646	1708	1	585.48
ass_001_1844_010_448_460_e690	5519	1	181.19
ass_001_1844_010_465_473_e700	3120	2	641.03
ass_001_1844_010_486_490_e712	2250	1	444.44
ass_001_1844_010_75_98_e516	9092	3	329.96
ass_001_1845_011_177_187_e727	3986	2	501.76
ass_001_1845_011_221_229_e748	3081	1	324.57
ass_001_1845_011_253_261_e909	3187	1	313.77
ass_001_1845_011_360_367_e911	2377	1	420.7
ass_001_1845_011_367_377_e912	3720	2	537.63
ass_001_1845_011_76_95_e692	7228	1	138.35
ass_001_1845_011_95_104_e693	3401	1	294.03
bmb_001_1850_001_180_182_e335	1391	1	718.91
bmb_001_1850_001_212_214_e354	1299	1	769.82
bmb_001_1850_001_77_79_e264	708	1	1412.43
bmb_001_1850_001_80_81_e269	272	1	3676.47
bmb_001_1851_002_104_113_e348	3337	1	299.67
bmb_001_1851_002_113_128_e350	5400	1	185.19
bmb_001_1851_002_180_182_e391	788	5	6345.18
bmb_001_1851_002_183_186_e394	1167	3	2570.69
bmb_001_1851_002_187_188_e397	496	1	2016.13
bmb_001_1851_002_250_251_e439	254	2	7874.02
bmb_001_1851_002_37_39_e300	1419	2	1409.44
bmb_001_1851_002_43_46_e304	1332	1	750.75
bmb_001_1851_002_52_55_e316	1579	2	1266.62
bmb_001_1851_002_56_61_e319	2180	2	917.43
bmb_001_1852_003_137_139_e383	815	2	2453.99
bmb_001_1852_003_13_15_e299	652	2	3067.48
bmb_001_1852_003_146_148_e386	504	2	3968.25
bmb_001_1852_003_160_165_e394	1828	2	1094.09
bmb_001_1852_003_202_204_e410	187	1	5347.59
bmb_001_1852_003_232_239_e424	2480	1	403.23
bmb_001_1853_004_123_124_e343	409	2	4889.98
bmb_001_1853_004_212_215_e388	1632	1	612.75
bmb_001_1853_004_244_246_e405	540	1	1851.85
bmb_001_1853_004_252_255_e415	1425	2	1403.51
bmb_001_1853_004_268_271_e423	1600	1	625
bmb_001_1853_004_72_81_e316	3703	1	270.05
bmb_001_1854_005_102_109_e319	2593	1	385.65
bmb_001_1854_005_121_133_e329	4769	2	419.38
bmb_001_1854_005_209_222_e382	4172	1	239.69
bmb_001_1855_006_198_200_e364	944	1	1059.32
bmb_001_1855_006_201_212_e367	3403	2	587.72
bmb_001_1855_006_237_240_e396	1576	1	634.52
bmb_001_1855_006_31_35_e261	1836	1	544.66
bmb_001_1855_006_54_55_e270	550	3	5454.55
bmb_001_1855_006_75_76_e284	227	1	4405.29
bmb_001_1856_007_105_114_e347	3251	1	307.6
bmb_001_1856_007_15_15_e289	112	1	8928.57
bmb_001_1856_007_67_69_e330	633	1	1579.78
bmb_001_1856_007_69_72_e333	1349	1	741.29
bmb_001_1857_008_193_199_e373	1280	1	781.25
bmb_001_1857_008_232_235_e390	1307	1	765.11
bmb_001_1857_008_237_240_e396	1365	1	732.6
bmb_001_1857_008_31_37_e272	2538	1	394.01
bmb_001_1857_008_72_74_e288	577	1	1733.1
bmb_001_1858_009_104_111_e293	2222	1	450.05
bmb_001_1858_009_121_127_e300	3697	1	270.49
bmb_001_1858_009_128_139_e302	3587	1	278.78
bmb_001_1858_009_48_56_e265	2850	1	350.88
bmb_001_1858_009_72_78_e274	2034	1	491.64
bmb_001_1858_009_81_87_e279	2826	2	707.71
bmb_001_1858_009_92_95_e284	1034	1	967.12
bmb_001_1858_009_97_103_e290	2921	1	342.35
bmb_001_1860_011_115_117_e305	900	1	1111.11
bmb_001_1860_011_120_124_e311	1945	2	1028.28
bmb_001_1860_011_143_146_e320	1314	2	1522.07
bmb_001_1861_012_112_112_e315	435	1	2298.85
bmb_001_1861_012_138_143_e340	1990	3	1507.54
bmb_001_1861_012_208_210_e399	774	3	3875.97
bmb_001_1861_012_37_41_e255	1767	1	565.93
bmb_001_1862_013_108_108_e314	273	1	3663
bmb_001_1862_013_181_191_e396	5227	3	573.94
bmb_001_1862_013_30_32_e229	582	2	3436.43
bmb_001_1862_013_46_49_e245	1355	4	2952.03
bmb_001_1862_013_83_84_e290	576	1	1736.11
bmb_001_1863_014_123_128_e300	2278	1	438.98
bmb_001_1863_014_142_146_e316	2109	2	948.32
bmb_001_1863_014_21_29_e230	3785	2	528.4
bmb_001_1863_014_41_42_e242	831	1	1203.37
bmb_001_1863_014_42_48_e244	2148	11	5121.04
bmb_001_1863_014_68_68_e273	383	1	2610.97
bmb_001_1863_014_74_88_e277	6239	3	480.85
bmb_001_1863_014_91_100_e284	4437	1	225.38
bmb_001_1864_015_107_115_e285	2562	1	390.32
bmb_001_1864_015_123_131_e293	3074	2	650.62
bmb_001_1864_015_133_136_e299	1180	1	847.46
bmb_001_1864_015_163_164_e313	599	1	1669.45
bmb_001_1864_015_174_176_e318	980	3	3061.22
bmb_001_1864_015_21_27_e212	2675	1	373.83
bmb_001_1865_016_111_111_e305	226	2	8849.56
bmb_001_1865_016_147_147_e329	540	1	1851.85
bmb_001_1865_016_58_60_e259	779	5	6418.49
bmb_001_1865_016_78_80_e279	472	1	2118.64
bmb_001_1865_016_8_10_e204	807	2	2478.31
bmb_001_1866_017_116_120_e318	2004	1	499
bmb_001_1866_017_132_137_e329	2390	1	418.41
bmb_001_1866_017_44_46_e242	1006	9	8946.32
bmb_001_1866_017_47_48_e248	887	1	1127.4
bmb_001_1866_017_52_56_e258	1641	1	609.38
bmb_001_1866_017_69_77_e267	3694	3	812.13
bmb_001_1867_018_112_114_e310	925	1	1081.08
bmb_001_1867_018_115_124_e244	3661	1	273.15
bmb_001_1867_018_139_143_e258	1906	2	1049.32
bmb_001_1867_018_159_162_e313	1388	1	720.46
bmb_001_1867_018_179_185_e282	2755	6	2177.86
bmb_001_1867_018_185_188_e285	1308	2	1529.05
bmb_001_1867_018_189_193_e318	1542	2	1297.02
bmb_001_1867_018_35_44_e214	3917	2	510.59
bmb_001_1867_018_44_50_e217	2992	1	334.22
bmb_001_1867_018_4_8_e300	1946	1	513.87
bmb_001_1867_018_67_79_e229	5236	1	190.99
bmb_001_1868_019_10_14_e203	1548	1	645.99
bmb_001_1868_019_114_115_e267	462	5	10822.51
bmb_001_1868_019_116_122_e270	1689	8	4736.53
bmb_001_1868_019_143_146_e284	1304	1	766.87
bmb_001_1868_019_178_179_e301	673	1	1485.88
bmb_001_1868_019_84_90_e251	1458	4	2743.48
bmb_001_1869_020_103_106_e251	1496	3	2005.35
bmb_001_1869_020_129_134_e272	2381	1	419.99
bmb_001_1869_020_158_160_e287	1220	1	819.67
bmb_001_1869_020_167_171_e292	1929	1	518.4
bmb_001_1869_020_175_175_e296	289	3	10380.62
bmb_001_1869_020_49_55_e214	2592	1	385.8
bmb_001_1870_020_121_124_e299	1711	1	584.45
bmb_001_1870_020_137_139_e306	796	3	3768.84
bmb_001_1870_020_155_161_e321	3111	3	964.32
bmb_001_1870_020_4_6_e214	1411	2	1417.43
bsf_001_1861_001_76_78_e47	1320	3	2272.73
bsf_001_1861_001_79_81_e49	1454	1	687.76
bsf_001_1861_001_88_91_e56	1287	1	777
bsf_001_1862_002_226_233_e154	3066	1	326.16
bsf_001_1862_002_242_251_e167	3575	1	279.72
bsf_001_1862_002_252_253_e169	333	1	3003
bsf_001_1862_002_269_270_e182	433	1	2309.47
bsf_001_1862_002_335_335_e228	297	3	10101.01
bsf_001_1862_002_366_366_e247	219	1	4566.21
bsf_001_1862_002_39_43_e29	1835	5	2724.8
bsf_001_1862_002_43_47_e30	1502	1	665.78
bsf_001_1862_002_54_57_e40	727	3	4126.55
bsf_001_1863_003_106_107_e71	550	3	5454.55
bsf_001_1863_003_171_173_e112	416	1	2403.85
bsf_001_1863_003_173_173_e113	188	1	5319.15
bsf_001_1863_003_174_174_e114	300	2	6666.67
bsf_001_1863_003_186_188_e123	715	1	1398.6
bsf_001_1863_003_188_192_e124	1474	1	678.43
bsf_001_1863_003_205_207_e136	919	3	3264.42
bsf_001_1863_003_224_225_e146	832	1	1201.92
bsf_001_1863_003_269_271_e176	493	2	4056.8
bsf_001_1863_003_297_304_e200	2537	1	394.17
bsf_001_1863_003_29_31_e22	612	1	1633.99
bsf_001_1863_003_44_44_e31	53	1	18867.92
bsf_001_1863_003_63_64_e42	250	1	4000
bsf_001_1863_003_90_94_e60	1451	1	689.18
bsf_001_1864_004_126_127_e81	737	2	2713.7
bsf_001_1864_004_137_138_e90	425	1	2352.94
bsf_001_1864_004_146_151_e97	1856	7	3771.55
bsf_001_1864_004_14_16_e11	717	1	1394.7
bsf_001_1864_004_172_176_e111	1566	2	1277.14
bsf_001_1864_004_224_225_e138	742	1	1347.71
bsf_001_1864_004_240_241_e146	464	4	8620.69
bsf_001_1864_004_266_269_e161	1048	1	954.2
bsf_001_1864_004_315_320_e191	1898	1	526.87
bsf_001_1864_004_382_383_e232	685	3	4379.56
bsf_001_1864_004_58_62_e38	1528	1	654.45
bsf_001_1865_005_102_107_e59	2310	1	432.9
bsf_001_1865_005_124_128_e70	1454	1	687.76
bsf_001_1865_005_141_143_e79	640	1	1562.5
bsf_001_1865_005_157_161_e89	1263	2	1583.53
bsf_001_1865_005_239_241_e131	397	1	2518.89
bsf_001_1865_005_316_321_e181	1699	2	1177.16
bsf_001_1865_005_354_359_e204	1749	4	2287.02
bsf_001_1865_005_376_379_e212	914	1	1094.09
bsf_001_1865_005_58_64_e35	1860	3	1612.9
bsf_001_1865_005_91_95_e53	1647	1	607.16
bsf_001_1866_006_105_111_e60	2186	1	457.46
bsf_001_1866_006_113_119_e65	2607	1	383.58
bsf_001_1866_006_221_224_e115	1590	1	628.93
bsf_001_1866_006_257_260_e137	1379	1	725.16
bsf_001_1866_006_281_287_e148	2087	1	479.16
bsf_001_1866_006_28_31_e16	1009	1	991.08
bsf_001_1866_006_317_320_e165	1447	3	2073.26
bsf_001_1866_006_61_64_e35	1111	2	1800.18
bsf_001_1866_006_89_94_e51	1651	1	605.69
bsf_001_1867_007_139_144_e76	1411	1	708.72
bsf_001_1867_007_305_312_e177	3347	3	896.33
bsf_001_1867_007_335_335_e190	638	4	6269.59
bso_001_1858_001_109_112_e30	4667	1	214.27
bso_001_1858_001_141_144_e38	4645	3	645.86
bso_001_1858_001_21_24_e8	4969	2	402.5
bso_001_1858_001_53_56_e16	4713	1	212.18
bso_001_1858_001_5_8_e4	4455	1	224.47
bso_001_1859_002_101_104_e28	4737	4	844.42
bso_001_1859_002_13_16_e6	4790	1	208.77
bso_001_1859_002_1_4_e3	5271	1	189.72
bso_001_1859_002_41_44_e13	4951	1	201.98
bso_001_1859_002_45_48_e14	4765	1	209.86
bso_001_1860_003_101_104_e28	4952	2	403.88
bso_001_1860_003_105_108_e29	5012	1	199.52
bso_001_1860_003_193_196_e51	4643	2	430.76
bso_001_1860_003_1_4_e3	4621	1	216.4
bso_001_1860_003_201_204_e53	4415	1	226.5
bso_001_1860_003_45_48_e14	4629	1	216.03
bso_001_1860_003_53_56_e16	5124	2	390.32
bso_001_1860_003_5_8_e4	4832	2	413.91
bso_001_1860_003_89_92_e25	5056	3	593.35
bso_001_1861_004_101_104_e28	4374	1	228.62
bso_001_1861_004_109_112_e30	4462	1	224.11
bso_001_1861_004_121_124_e33	4611	1	216.87
bso_001_1861_004_13_16_e6	4319	2	463.07
bso_001_1861_004_17_20_e7	4254	4	940.29
bso_001_1861_004_193_196_e51	4219	1	237.02
bso_001_1861_004_197_200_e52	3890	3	771.21
bso_001_1861_004_21_24_e8	4430	1	225.73
bso_001_1861_004_41_44_e13	4018	1	248.88
bso_001_1861_004_9_12_e5	4255	2	470.04
bso_001_1862_005_119_122_e33	4317	1	231.64
bso_001_1862_005_123_126_e34	3636	1	275.03
bso_001_1862_005_143_146_e39	4102	1	243.78
bso_001_1862_005_167_170_e45	3810	1	262.47
bso_001_1862_005_203_206_e54	4372	1	228.73
bso_001_1862_005_57_60_e17	4168	1	239.92
bso_001_1862_005_65_68_e19	3540	1	282.49
bso_001_1863_006_201_204_e53	3893	2	513.74
