Distribution of hits for query "[word="Absenz.*|Versäumniß"%cd]" returned 978 matches in 319 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
btb_001_1870_019_344_379_e412	23487	1	42.58
dns_002_1806_002_122_141_e594	5260	1	190.11
dsr_003_1800_002_134_136_e770	1762	1	567.54
dsr_003_1800_003_297_298_e935	1875	1	533.33
dsr_003_1800_003_577_578_e1275	1165	1	858.37
gdv_001_1838_008_9_392_e409	52023	1	19.22
gdv_001_1850_005_9_446_e13	37809	1	26.45
gdv_001_1859_014_8_220_e12	36481	2	54.82
skb_002_1842_000_158_201_e311	11425	1	87.53
skb_004_1860_000_323_388_e524	15356	1	65.12
skb_004_1862_000_291_359_e505	16486	2	121.32
skb_004_1864_000_465_540_e664	18049	5	277.02
skb_004_1865_000_52_89_e450	13154	1	76.02
skb_004_1866_000_285_336_e666	17758	5	281.56
skb_004_1867_000_453_496_e666	14412	6	416.32
skb_004_1867_000_631_643_e672	3877	1	257.93
skb_004_1868_000_339_382_e573	14904	7	469.67
skb_004_1868_000_475_479_e576	1308	1	764.53
skb_004_1869_000_291_340_e505	15525	6	386.47
skz_001_1834_003_273_292_e552	18708	1	53.45
skz_001_1838_007_80_87_e93	7239	1	138.14
skz_001_1839_008_398_405_e474	7394	1	135.24
skz_001_1844_013_133_140_e154	6830	1	146.41
skz_001_1845_014_341_348_e377	7064	1	141.56
skz_001_1847_016_194_201_e392	6867	1	145.62
skz_002_1852_005_357_364_e470	7257	1	137.8
skz_003_1853_006_294_301_e469	6942	1	144.05
skz_004_1858_000_189_196_e508	4010	1	249.38
skz_004_1863_000_117_124_e452	8207	1	121.85
skz_004_1863_000_237_244_e467	8560	1	116.82
skz_004_1863_000_421_432_e490	9654	1	103.58
skz_004_1865_000_422_429_e493	7652	1	130.68
skz_004_1866_000_405_412_e500	8799	1	113.65
skz_004_1868_000_38_45_e47	6555	1	152.56
slz_001_1856_001_110_144_e7	13481	2	148.36
slz_001_1856_001_145_178_e8	13734	1	72.81
slz_001_1856_001_179_211_e9	13238	2	151.08
slz_001_1856_001_312_344_e13	11218	2	178.28
slz_001_1856_001_379_413_e15	12077	1	82.8
slz_001_1856_001_43_75_e5	13653	3	219.73
slz_001_1856_001_5_42_e4	17428	5	286.89
slz_001_1857_002_109_140_e7	14411	3	208.17
slz_001_1857_002_141_196_e8	24110	6	248.86
slz_001_1857_002_197_260_e9	27831	3	107.79
slz_001_1857_002_5_44_e4	10831	5	461.64
slz_001_1858_003_241_304_e9	27345	8	292.56
slz_001_1859_004_293_388_e12	40772	3	73.58
slz_001_1860_005_368_403_e10	14836	1	67.4
slz_001_1861_006_109_142_e6	9034	1	110.69
slz_001_1861_006_143_176_e7	9710	1	102.99
slz_001_1861_006_41_74_e4	9728	4	411.18
slz_002_1863_008_172_175_e45	4141	2	482.98
slz_002_1863_008_176_179_e46	4468	1	223.81
slz_002_1863_008_196_199_e51	3849	1	259.81
slz_002_1863_008_49_52_e15	5426	1	184.3
slz_002_1863_008_69_72_e20	5320	1	187.97
slz_002_1864_009_113_116_e31	5036	3	595.71
slz_002_1864_009_165_168_e44	5012	3	598.56
slz_002_1864_009_177_180_e47	4861	3	617.16
slz_002_1864_009_181_184_e48	5078	1	196.93
slz_002_1864_009_193_196_e51	5017	8	1594.58
slz_002_1864_009_209_212_e55	4042	2	494.8
slz_002_1864_009_73_76_e21	4784	1	209.03
slz_002_1865_010_167_174_e24	3624	1	275.94
slz_002_1865_010_342_349_e46	3764	1	265.67
slz_002_1865_010_71_78_e12	3868	2	517.06
slz_002_1866_011_121_128_e18	5704	1	175.32
slz_002_1866_011_153_160_e22	5537	1	180.6
slz_002_1866_011_201_208_e28	5438	1	183.89
slz_002_1866_011_25_32_e6	5743	1	174.13
slz_002_1866_011_265_272_e36	5738	1	174.28
slz_002_1866_011_297_304_e40	5546	3	540.93
slz_002_1866_011_361_368_e48	5677	8	1409.19
slz_002_1866_011_97_104_e15	5795	1	172.56
slz_002_1867_012_113_120_e17	5718	1	174.89
slz_002_1867_012_123_130_e18	5900	1	169.49
slz_002_1867_012_155_162_e22	5763	2	347.04
slz_002_1867_012_211_218_e29	6264	2	319.28
slz_002_1867_012_251_258_e34	5272	1	189.68
slz_002_1867_012_275_282_e37	5743	2	348.25
slz_002_1867_012_291_298_e39	6138	2	325.84
slz_002_1867_012_299_306_e40	5688	1	175.81
slz_002_1867_012_31_38_e7	6093	2	328.25
slz_002_1867_012_387_394_e51	5790	1	172.71
slz_002_1868_013_201_208_e28	5923	2	337.67
slz_002_1868_013_209_216_e29	5544	1	180.38
slz_002_1868_013_25_32_e6	5638	1	177.37
slz_002_1868_013_321_328_e43	5911	2	338.35
slz_002_1868_013_337_344_e45	5775	1	173.16
slz_002_1868_013_377_384_e50	5803	3	516.97
slz_002_1868_013_41_48_e8	5735	1	174.37
slz_002_1869_014_253_260_e34	5357	1	186.67
slz_002_1869_014_35_42_e7	5764	1	173.49
slz_002_1870_015_151_158_e21	4841	1	206.57
slz_002_1870_015_257_264_e34	5882	1	170.01
slz_002_1870_015_281_288_e37	6104	1	163.83
slz_002_1870_015_289_296_e38	5608	1	178.32
slz_002_1870_015_321_328_e42	5771	2	346.56
slz_002_1870_015_81_88_e13	5863	5	852.81
syn_001_1834_000_23_31_e72	2820	1	354.61
syn_001_1835_000_3_9_e77	2068	1	483.56
syn_001_1835_000_54_70_e94	6589	3	455.3
syn_001_1836_000_26_35_e90	4844	1	206.44
syn_001_1836_000_48_64_e93	7124	4	561.48
syn_001_1837_000_20_31_e97	5485	1	182.32
syn_001_1837_000_49_82_e115	13519	19	1405.43
syn_001_1838_000_26_34_e151	2786	1	358.94
syn_001_1839_000_18_27_e147	3209	1	311.62
syn_001_1839_000_28_49_e155	7917	2	252.62
syn_001_1839_000_70_130_e174	19371	8	412.99
syn_001_1847_000_100_154_e248	17005	12	705.67
syn_001_1847_000_176_199_e334	13619	3	220.28
syn_001_1847_000_40_82_e232	14434	28	1939.86
syn_001_1849_000_16_37_e106	6968	5	717.57
syn_001_1849_000_37_40_e109	849	2	2355.71
syn_001_1849_000_40_92_e112	15794	29	1836.14
syn_001_1850_000_15_65_e104	15279	18	1178.09
syn_001_1850_000_65_87_e107	7471	5	669.25
syn_001_1851_000_10_18_e100	3441	1	290.61
syn_001_1851_000_28_72_e108	14258	9	631.22
syn_001_1851_000_72_94_e111	7782	4	514.01
syn_001_1852_000_127_151_e177	9601	7	729.09
syn_001_1852_000_24_126_e176	35166	35	995.28
syn_001_1853_000_21_56_e111	11792	4	339.21
syn_001_1853_000_57_93_e113	13448	6	446.16
syn_001_1853_000_93_96_e117	1455	2	1374.57
syn_001_1854_000_17_50_e83	15012	5	333.07
syn_001_1854_000_50_69_e87	9145	6	656.1
syn_001_1855_000_11_44_e91	14138	10	707.31
syn_001_1855_000_3_5_e82	1127	1	887.31
syn_001_1855_000_44_77_e94	17358	1	57.61
syn_001_1856_000_13_47_e83	15322	9	587.39
syn_001_1858_000_22_60_e105	15318	8	522.26
syn_001_1859_000_14_39_e50	10684	4	374.39
syn_001_1859_000_40_87_e135	17796	7	393.35
syn_001_1860_000_16_71_e104	20856	10	479.48
syn_001_1860_000_72_94_e105	9395	4	425.76
syn_001_1861_000_19_44_e54	10716	4	373.27
syn_001_1861_000_45_80_e114	13197	5	378.87
syn_001_1862_000_18_55_e94	16301	2	122.69
syn_001_1862_000_56_86_e96	9979	3	300.63
syn_001_1863_000_15_73_e128	22211	10	450.23
syn_001_1863_000_74_112_e129	16615	4	240.75
syn_001_1864_000_116_136_e280	8511	1	117.5
syn_001_1864_000_146_195_e282	16698	2	119.77
syn_001_1864_000_14_53_e275	13578	3	220.95
syn_001_1864_000_196_223_e283	11768	8	679.81
syn_001_1864_000_3_13_e274	3301	2	605.88
syn_001_1864_000_54_81_e276	11912	3	251.85
syn_001_1866_000_103_170_e183	22933	8	348.84
syn_001_1866_000_71_99_e179	11474	5	435.77
syn_001_1867_000_113_175_e190	20782	3	144.36
syn_001_1867_000_70_96_e121	11297	14	1239.27
syn_001_1868_000_39_52_e158	5764	1	173.49
syn_001_1868_000_53_80_e159	8824	4	453.31
syn_001_1868_000_98_123_e160	9994	8	800.48
syn_001_1869_000_122_143_e160	8996	3	333.48
syn_001_1869_000_50_121_e159	24875	13	522.61
syn_001_1870_000_148_174_e193	11304	12	1061.57
syn_001_1870_000_92_147_e192	17906	3	167.54
vsb_001_1854_001_181_181_e204	221	1	4524.89
vsb_001_1854_001_200_202_e233	2003	2	998.5
vsb_001_1854_001_203_203_e237	438	2	4566.21
vsb_001_1858_005_175_179_e185	1303	1	767.46
vsb_001_1858_005_198_198_e207	145	2	13793.1
vsb_001_1858_005_418_419_e409	1262	1	792.39
vsb_001_1858_005_777_778_e744	926	1	1079.91
vsb_001_1858_005_778_781_e745	15	1	66666.67
vsb_001_1858_005_796_799_e760	15	1	66666.67
vsb_001_1858_005_821_822_e785	1329	2	1504.89
vsb_001_1859_006_38_39_e92	516	1	1937.98
vsb_001_1860_007_112_113_e94	310	3	9677.42
vsb_001_1860_007_171_175_e143	1489	3	2014.78
vsb_001_1860_007_181_182_e152	553	2	3616.64
vsb_001_1860_007_192_196_e160	1520	2	1315.79
vsb_001_1860_007_208_210_e171	870	1	1149.43
vsb_001_1860_007_229_231_e190	541	1	1848.43
vsb_001_1860_007_237_242_e197	2102	3	1427.21
vsb_001_1860_007_321_323_e254	859	1	1164.14
vsb_001_1860_007_479_480_e377	437	1	2288.33
vsb_001_1860_007_516_517_e436	574	1	1742.16
vsb_001_1860_007_51_52_e40	411	1	2433.09
vsb_001_1860_007_613_613_e550	594	1	1683.5
vsb_001_1860_007_82_83_e69	191	1	5235.6
