Jahr,Treffer per Mio. Wörter
1835,0.00
1836,2.74
1837,3.73
1838,3.88
1839,0.00
1840,1.26
1841,0.72
1842,0.37
1843,0.52
1844,0.00
1845,0.00
1846,0.00
1847,0.51
1848,0.00
1849,3.86
1850,0.00
1851,0.00
1852,0.33
1853,0.54
1854,1.35
1855,4.09
1856,3.52
1857,2.31
1858,0.51
1859,0.70
1860,0.57
1861,0.00
1862,0.00
1863,1.01
1864,2.90
1865,1.53
1866,2.64
1867,0.96
1868,2.52
1869,0.00
1870,0.99
